seq_id,result,probability
NONHSAT010680.2,lncRNA,0.999
NONHSAT010681.2,lncRNA,1.0
NONHSAT010697.2,lncRNA,0.999
NONHSAT010698.2,lncRNA,0.998
NONHSAT010700.2,lncRNA,0.999
NONHSAT010749.2,lncRNA,1.0
NONHSAT010944.2,lncRNA,1.0
NONHSAT010987.2,lncRNA,1.0
NONHSAT011015.2,lncRNA,0.999
NONHSAT011018.2,lncRNA,1.0
NONHSAT011034.2,lncRNA,0.993
NONHSAT011127.2,lncRNA,1.0
NONHSAT011188.2,lncRNA,0.999
NONHSAT011204.2,lncRNA,0.549
NONHSAT011238.2,lncRNA,1.0
NONHSAT011326.2,lncRNA,0.945
NONHSAT011344.2,lncRNA,1.0
NONHSAT011392.2,lncRNA,1.0
NONHSAT011575.2,lncRNA,1.0
NONHSAT011608.2,mRNA,0.931
NONHSAT011637.2,lncRNA,1.0
NONHSAT012590.2,lncRNA,0.999
NONHSAT012795.2,mRNA,0.84
NONHSAT012800.2,mRNA,0.72
NONHSAT012878.2,mRNA,0.999
NONHSAT012924.2,lncRNA,0.999
NONHSAT013047.2,lncRNA,0.999
NONHSAT013257.2,lncRNA,1.0
NONHSAT013418.2,mRNA,0.92
NONHSAT013610.2,lncRNA,0.6
NONHSAT013853.2,lncRNA,1.0
NONHSAT014043.2,lncRNA,0.931
NONHSAT015059.2,lncRNA,0.993
NONHSAT015351.2,mRNA,0.904
NONHSAT015596.2,lncRNA,0.999
NONHSAT015638.2,lncRNA,1.0
NONHSAT015653.2,mRNA,0.999
NONHSAT015860.2,lncRNA,1.0
NONHSAT016018.2,mRNA,0.893
NONHSAT016035.2,lncRNA,0.943
NONHSAT016164.2,mRNA,0.998
NONHSAT016238.2,lncRNA,1.0
NONHSAT016287.2,lncRNA,0.999
NONHSAT016313.2,lncRNA,0.999
NONHSAT016324.2,lncRNA,0.999
NONHSAT016470.2,lncRNA,1.0
NONHSAT016528.2,lncRNA,0.999
NONHSAT016625.2,lncRNA,1.0
NONHSAT016633.2,lncRNA,0.999
NONHSAT016809.2,lncRNA,0.954
NONHSAT016900.2,lncRNA,0.999
NONHSAT017146.2,mRNA,0.999
NONHSAT017227.2,mRNA,0.854
NONHSAT017236.2,lncRNA,0.999
NONHSAT017285.2,mRNA,0.998
NONHSAT017299.2,mRNA,0.951
NONHSAT017456.2,lncRNA,0.999
NONHSAT017551.2,lncRNA,0.546
NONHSAT017713.2,lncRNA,0.999
NONHSAT017897.2,mRNA,0.995
NONHSAT018039.2,lncRNA,0.999
NONHSAT018110.2,lncRNA,0.966
NONHSAT018261.2,lncRNA,1.0
NONHSAT018264.2,mRNA,0.999
NONHSAT018564.2,mRNA,0.967
NONHSAT018678.2,mRNA,0.998
NONHSAT018702.2,lncRNA,0.999
NONHSAT018858.2,lncRNA,1.0
NONHSAT019037.2,lncRNA,0.999
NONHSAT021297.2,lncRNA,0.999
NONHSAT021306.2,mRNA,0.999
NONHSAT021363.2,lncRNA,1.0
NONHSAT021471.2,lncRNA,0.989
NONHSAT021832.2,lncRNA,0.999
NONHSAT022204.2,lncRNA,0.999
NONHSAT022219.2,mRNA,0.999
NONHSAT022557.2,lncRNA,1.0
NONHSAT022595.2,mRNA,1.0
NONHSAT022781.2,mRNA,0.999
NONHSAT022910.2,lncRNA,1.0
NONHSAT023119.2,mRNA,0.982
NONHSAT023418.2,lncRNA,1.0
NONHSAT023573.2,mRNA,0.999
NONHSAT023738.2,lncRNA,0.957
NONHSAT024073.2,mRNA,0.68
NONHSAT024266.2,lncRNA,0.999
NONHSAT024423.2,lncRNA,0.999
NONHSAT024657.2,lncRNA,0.999
NONHSAT024812.2,lncRNA,1.0
NONHSAT025146.2,mRNA,0.988
NONHSAT025323.2,lncRNA,0.999
NONHSAT025383.2,lncRNA,1.0
NONHSAT025934.2,lncRNA,0.999
NONHSAT026200.2,lncRNA,0.849
NONHSAT026298.2,mRNA,0.99
NONHSAT026397.2,lncRNA,0.999
NONHSAT027044.2,lncRNA,0.999
NONHSAT027126.2,lncRNA,1.0
NONHSAT027234.2,mRNA,0.996
NONHSAT027350.2,lncRNA,1.0
NONHSAT027369.2,lncRNA,0.907
NONHSAT027374.2,mRNA,0.999
NONHSAT027409.2,lncRNA,0.999
NONHSAT027477.2,lncRNA,0.999
NONHSAT027537.2,mRNA,0.999
NONHSAT027663.2,lncRNA,1.0
NONHSAT027710.2,lncRNA,0.999
NONHSAT027895.2,lncRNA,0.999
NONHSAT028004.2,lncRNA,0.967
NONHSAT028026.2,lncRNA,0.999
NONHSAT028517.2,lncRNA,0.999
NONHSAT028577.2,lncRNA,1.0
NONHSAT028591.2,lncRNA,1.0
NONHSAT028658.2,lncRNA,1.0
NONHSAT029171.2,lncRNA,0.999
NONHSAT029225.2,lncRNA,0.999
NONHSAT029255.2,lncRNA,0.999
NONHSAT029302.2,lncRNA,1.0
NONHSAT029495.2,lncRNA,0.999
NONHSAT029498.2,lncRNA,0.999
NONHSAT029603.2,lncRNA,1.0
NONHSAT029748.2,mRNA,0.834
NONHSAT029778.2,lncRNA,0.987
NONHSAT029987.2,lncRNA,1.0
NONHSAT030082.2,lncRNA,0.999
NONHSAT030122.2,lncRNA,0.999
NONHSAT030211.2,mRNA,0.999
NONHSAT030231.2,lncRNA,1.0
NONHSAT030314.2,lncRNA,0.999
NONHSAT030382.2,lncRNA,0.999
NONHSAT030464.2,lncRNA,0.999
NONHSAT030592.2,lncRNA,1.0
NONHSAT030649.2,lncRNA,0.667
NONHSAT030893.2,lncRNA,0.999
NONHSAT030894.2,lncRNA,1.0
NONHSAT030978.2,lncRNA,0.999
NONHSAT031054.2,lncRNA,0.893
NONHSAT031490.2,lncRNA,0.99
NONHSAT031526.2,lncRNA,0.986
NONHSAT031622.2,lncRNA,1.0
NONHSAT031643.2,lncRNA,1.0
NONHSAT031748.2,lncRNA,0.999
NONHSAT031865.2,lncRNA,1.0
NONHSAT032250.2,lncRNA,0.999
NONHSAT032309.2,lncRNA,0.659
NONHSAT032410.2,lncRNA,0.999
NONHSAT032586.2,lncRNA,1.0
NONHSAT032623.2,lncRNA,0.999
NONHSAT033156.2,lncRNA,1.0
NONHSAT033286.2,mRNA,0.999
NONHSAT033331.2,lncRNA,1.0
NONHSAT033360.2,lncRNA,0.999
NONHSAT033378.2,lncRNA,0.999
NONHSAT033512.2,lncRNA,1.0
NONHSAT033684.2,lncRNA,0.999
NONHSAT033736.2,lncRNA,1.0
NONHSAT033847.2,lncRNA,0.999
NONHSAT033928.2,mRNA,0.859
NONHSAT033934.2,lncRNA,1.0
NONHSAT034066.2,lncRNA,0.999
NONHSAT034128.2,lncRNA,0.994
NONHSAT034197.2,lncRNA,0.998
NONHSAT034207.2,mRNA,0.984
NONHSAT034229.2,lncRNA,0.999
NONHSAT034342.2,lncRNA,0.999
NONHSAT034437.2,lncRNA,0.999
NONHSAT034464.2,lncRNA,0.981
NONHSAT034782.2,lncRNA,1.0
NONHSAT035099.2,lncRNA,0.994
NONHSAT035117.2,lncRNA,0.999
NONHSAT035217.2,mRNA,0.999
NONHSAT035512.2,lncRNA,0.999
NONHSAT035552.2,lncRNA,0.996
NONHSAT035609.2,lncRNA,1.0
NONHSAT035765.2,lncRNA,0.999
NONHSAT035911.2,lncRNA,0.999
NONHSAT035953.2,mRNA,0.999
NONHSAT036062.2,mRNA,0.998
NONHSAT036096.2,lncRNA,0.999
NONHSAT036097.2,lncRNA,0.999
NONHSAT036121.2,lncRNA,0.999
NONHSAT036186.2,lncRNA,1.0
NONHSAT036248.2,mRNA,0.996
NONHSAT036395.2,lncRNA,0.998
NONHSAT036513.2,lncRNA,1.0
NONHSAT036533.2,mRNA,0.99
NONHSAT036564.2,lncRNA,1.0
NONHSAT036566.2,lncRNA,0.999
NONHSAT036576.2,lncRNA,0.931
NONHSAT036675.2,lncRNA,1.0
NONHSAT036924.2,lncRNA,1.0
NONHSAT036932.2,mRNA,0.998
NONHSAT037068.2,lncRNA,0.99
NONHSAT037102.2,lncRNA,0.999
NONHSAT037158.2,mRNA,0.999
NONHSAT037209.2,lncRNA,1.0
NONHSAT037369.2,lncRNA,0.999
NONHSAT037733.2,mRNA,0.999
NONHSAT037924.2,mRNA,0.989
NONHSAT037952.2,lncRNA,1.0
NONHSAT038002.2,lncRNA,0.999
NONHSAT038039.2,lncRNA,0.999
NONHSAT038150.2,lncRNA,0.984
NONHSAT039491.2,lncRNA,1.0
NONHSAT039559.2,lncRNA,0.999
NONHSAT039832.2,lncRNA,0.657
NONHSAT040253.2,lncRNA,0.999
NONHSAT040406.2,mRNA,0.999
NONHSAT040440.2,lncRNA,0.999
NONHSAT040498.2,mRNA,0.999
NONHSAT040589.2,lncRNA,1.0
NONHSAT040629.2,lncRNA,0.999
NONHSAT040793.2,lncRNA,1.0
NONHSAT041202.2,mRNA,0.912
NONHSAT041252.2,lncRNA,0.999
NONHSAT041282.2,mRNA,1.0
NONHSAT041363.2,mRNA,0.996
NONHSAT041601.2,lncRNA,1.0
NONHSAT041736.2,lncRNA,1.0
NONHSAT041794.2,lncRNA,0.971
NONHSAT042239.2,lncRNA,0.996
NONHSAT042264.2,mRNA,0.974
NONHSAT043871.2,lncRNA,0.977
NONHSAT043976.2,lncRNA,1.0
NONHSAT044196.2,lncRNA,1.0
NONHSAT044235.2,lncRNA,0.941
NONHSAT046625.2,mRNA,0.999
NONHSAT046673.2,mRNA,0.999
NONHSAT046736.2,lncRNA,1.0
NONHSAT046887.2,lncRNA,0.999
NONHSAT047158.2,lncRNA,0.704
NONHSAT047173.2,lncRNA,0.999
NONHSAT047304.2,lncRNA,1.0
NONHSAT047357.2,lncRNA,1.0
NONHSAT047447.2,mRNA,0.79
NONHSAT047448.2,mRNA,0.956
NONHSAT047641.2,lncRNA,0.999
NONHSAT047963.2,lncRNA,0.999
NONHSAT048064.2,lncRNA,1.0
NONHSAT048068.2,lncRNA,0.927
NONHSAT048075.2,lncRNA,1.0
NONHSAT048259.2,lncRNA,1.0
NONHSAT048320.2,mRNA,0.997
NONHSAT048412.2,lncRNA,0.999
NONHSAT048413.2,lncRNA,0.999
NONHSAT048427.2,lncRNA,1.0
NONHSAT048428.2,mRNA,0.828
NONHSAT050131.2,lncRNA,0.999
NONHSAT050136.2,lncRNA,0.994
NONHSAT050166.2,mRNA,1.0
NONHSAT050241.2,lncRNA,0.945
NONHSAT050772.2,lncRNA,1.0
NONHSAT050776.2,mRNA,0.959
NONHSAT051124.2,lncRNA,0.995
NONHSAT051155.2,lncRNA,1.0
NONHSAT051957.2,mRNA,0.999
NONHSAT052102.2,lncRNA,0.701
NONHSAT052213.2,mRNA,0.999
NONHSAT052245.2,lncRNA,1.0
NONHSAT052607.2,mRNA,0.994
NONHSAT052825.2,lncRNA,1.0
NONHSAT052894.2,lncRNA,0.999
NONHSAT053093.2,mRNA,0.999
NONHSAT053453.2,lncRNA,0.975
NONHSAT053735.2,lncRNA,0.81
NONHSAT054132.2,lncRNA,0.999
NONHSAT054155.2,lncRNA,1.0
NONHSAT054431.2,lncRNA,0.997
NONHSAT054444.2,lncRNA,0.995
NONHSAT054498.2,mRNA,0.999
NONHSAT054575.2,lncRNA,0.996
NONHSAT054621.2,lncRNA,0.999
NONHSAT054679.2,lncRNA,0.999
NONHSAT054729.2,mRNA,0.992
NONHSAT054774.2,mRNA,0.999
NONHSAT054868.2,lncRNA,1.0
NONHSAT055063.2,mRNA,0.533
NONHSAT055092.2,mRNA,0.998
NONHSAT055109.2,lncRNA,0.982
NONHSAT055171.2,lncRNA,1.0
NONHSAT055192.2,lncRNA,0.999
NONHSAT055476.2,lncRNA,1.0
NONHSAT055636.2,lncRNA,1.0
NONHSAT055682.2,mRNA,0.765
NONHSAT055877.2,mRNA,0.999
NONHSAT056333.2,mRNA,0.789
NONHSAT056469.2,lncRNA,0.97
NONHSAT056487.2,mRNA,0.991
NONHSAT056573.2,lncRNA,1.0
NONHSAT056681.2,lncRNA,0.999
NONHSAT056991.2,lncRNA,1.0
NONHSAT057036.2,lncRNA,0.999
NONHSAT057047.2,lncRNA,1.0
NONHSAT057075.2,lncRNA,0.997
NONHSAT057244.2,lncRNA,0.968
NONHSAT057283.2,mRNA,0.53
NONHSAT058422.2,lncRNA,1.0
NONHSAT058469.2,lncRNA,0.999
NONHSAT058572.2,lncRNA,1.0
NONHSAT058612.2,lncRNA,1.0
NONHSAT058849.2,lncRNA,1.0
NONHSAT058869.2,lncRNA,0.999
NONHSAT058873.2,lncRNA,0.999
NONHSAT058918.2,lncRNA,1.0
NONHSAT058969.2,lncRNA,0.999
NONHSAT058970.2,lncRNA,0.999
NONHSAT059225.2,lncRNA,1.0
NONHSAT059305.2,lncRNA,0.999
NONHSAT059307.2,mRNA,0.989
NONHSAT059368.2,lncRNA,1.0
NONHSAT059440.2,lncRNA,0.999
NONHSAT059486.2,lncRNA,0.999
NONHSAT059566.2,lncRNA,0.999
NONHSAT059682.2,mRNA,0.815
NONHSAT059779.2,lncRNA,0.999
NONHSAT059844.2,lncRNA,1.0
NONHSAT059853.2,lncRNA,0.998
NONHSAT059910.2,mRNA,0.725
NONHSAT060017.2,mRNA,0.992
NONHSAT060202.2,lncRNA,1.0
NONHSAT060215.2,lncRNA,1.0
NONHSAT060570.2,lncRNA,1.0
NONHSAT060579.2,lncRNA,1.0
NONHSAT060610.2,lncRNA,0.999
NONHSAT060817.2,mRNA,0.765
NONHSAT060902.2,mRNA,0.999
NONHSAT061413.2,lncRNA,1.0
NONHSAT061453.2,lncRNA,1.0
NONHSAT062866.2,mRNA,0.707
NONHSAT062896.2,lncRNA,1.0
NONHSAT062938.2,lncRNA,0.999
NONHSAT063026.2,lncRNA,0.632
NONHSAT063607.2,lncRNA,0.999
NONHSAT063648.2,lncRNA,0.999
NONHSAT063672.2,lncRNA,0.996
NONHSAT063710.2,lncRNA,0.997
NONHSAT063804.2,lncRNA,1.0
NONHSAT063854.2,lncRNA,0.999
NONHSAT063897.2,lncRNA,1.0
NONHSAT063917.2,lncRNA,0.999
NONHSAT064134.2,lncRNA,0.999
NONHSAT065998.2,lncRNA,0.999
NONHSAT066114.2,mRNA,0.993
NONHSAT066121.2,lncRNA,1.0
NONHSAT066205.2,lncRNA,1.0
NONHSAT066243.2,lncRNA,0.998
NONHSAT066448.2,mRNA,0.981
NONHSAT066752.2,lncRNA,0.999
NONHSAT066782.2,lncRNA,1.0
NONHSAT066968.2,lncRNA,1.0
NONHSAT066982.2,lncRNA,0.974
NONHSAT067050.2,lncRNA,0.832
NONHSAT067210.2,lncRNA,1.0
NONHSAT067401.2,mRNA,0.628
NONHSAT067913.2,lncRNA,0.999
NONHSAT068006.2,lncRNA,0.997
NONHSAT068052.2,lncRNA,1.0
NONHSAT068164.2,lncRNA,0.999
NONHSAT068184.2,lncRNA,0.961
NONHSAT068315.2,mRNA,0.999
NONHSAT068512.2,mRNA,0.999
NONHSAT068524.2,mRNA,0.994
NONHSAT068537.2,mRNA,0.984
NONHSAT068573.2,lncRNA,1.0
NONHSAT068766.2,mRNA,0.998
NONHSAT068917.2,lncRNA,0.999
NONHSAT068959.2,lncRNA,0.931
NONHSAT068972.2,lncRNA,0.999
NONHSAT069028.2,lncRNA,0.999
NONHSAT069179.2,lncRNA,1.0
NONHSAT069293.2,lncRNA,0.999
NONHSAT069485.2,lncRNA,0.999
NONHSAT069490.2,lncRNA,0.999
NONHSAT069627.2,lncRNA,0.989
NONHSAT069640.2,lncRNA,0.999
NONHSAT069682.2,lncRNA,1.0
NONHSAT069772.2,lncRNA,0.999
NONHSAT069941.2,lncRNA,0.999
NONHSAT070002.2,mRNA,0.999
NONHSAT070245.2,lncRNA,1.0
NONHSAT070455.2,mRNA,0.977
NONHSAT070487.2,lncRNA,0.999
NONHSAT070490.2,lncRNA,0.999
NONHSAT070682.2,lncRNA,1.0
NONHSAT070780.2,lncRNA,0.999
NONHSAT070878.2,lncRNA,0.992
NONHSAT071001.2,lncRNA,1.0
NONHSAT071025.2,lncRNA,0.999
NONHSAT071072.2,lncRNA,1.0
NONHSAT071181.2,lncRNA,1.0
NONHSAT071267.2,mRNA,0.771
NONHSAT071293.2,lncRNA,0.999
NONHSAT071434.2,mRNA,0.693
NONHSAT071821.2,lncRNA,1.0
NONHSAT071845.2,lncRNA,1.0
NONHSAT071936.2,lncRNA,0.983
NONHSAT072116.2,lncRNA,0.97
NONHSAT072138.2,lncRNA,0.983
NONHSAT072153.2,lncRNA,0.999
NONHSAT072207.2,mRNA,0.999
NONHSAT072222.2,lncRNA,0.999
NONHSAT072339.2,lncRNA,1.0
NONHSAT072504.2,lncRNA,0.879
NONHSAT072511.2,lncRNA,0.999
NONHSAT072800.2,lncRNA,1.0
NONHSAT073010.2,mRNA,0.997
NONHSAT073149.2,mRNA,0.999
NONHSAT073181.2,mRNA,0.527
NONHSAT073207.2,mRNA,1.0
NONHSAT073858.2,lncRNA,0.845
NONHSAT073937.2,mRNA,0.999
NONHSAT074004.2,mRNA,0.976
NONHSAT074061.2,lncRNA,1.0
NONHSAT074092.2,lncRNA,1.0
NONHSAT074161.2,mRNA,0.947
NONHSAT074217.2,lncRNA,0.717
NONHSAT074224.2,lncRNA,0.999
NONHSAT074358.2,mRNA,0.999
NONHSAT074376.2,mRNA,0.816
NONHSAT074419.2,mRNA,0.999
NONHSAT074451.2,lncRNA,0.999
NONHSAT074479.2,lncRNA,0.558
NONHSAT074693.2,lncRNA,0.999
NONHSAT074722.2,lncRNA,1.0
NONHSAT074789.2,lncRNA,0.996
NONHSAT075004.2,lncRNA,0.999
NONHSAT075135.2,lncRNA,0.999
NONHSAT075148.2,lncRNA,1.0
NONHSAT075193.2,lncRNA,0.999
NONHSAT075282.2,lncRNA,1.0
NONHSAT075410.2,lncRNA,1.0
NONHSAT075713.2,lncRNA,0.999
NONHSAT075780.2,mRNA,0.998
NONHSAT075851.2,mRNA,0.809
NONHSAT076018.2,mRNA,0.999
NONHSAT076047.2,lncRNA,1.0
NONHSAT076161.2,lncRNA,1.0
NONHSAT076214.2,lncRNA,1.0
NONHSAT076433.2,lncRNA,0.999
NONHSAT076501.2,lncRNA,0.782
NONHSAT076580.2,lncRNA,0.999
NONHSAT076678.2,lncRNA,0.999
NONHSAT076774.2,lncRNA,0.912
NONHSAT076820.2,lncRNA,0.999
NONHSAT077088.2,lncRNA,1.0
NONHSAT077109.2,lncRNA,1.0
NONHSAT077119.2,mRNA,0.721
NONHSAT077134.2,lncRNA,0.999
NONHSAT077136.2,lncRNA,0.995
NONHSAT077208.2,lncRNA,1.0
NONHSAT077431.2,lncRNA,0.558
NONHSAT077499.2,mRNA,0.999
NONHSAT077512.2,mRNA,1.0
NONHSAT077531.2,lncRNA,0.999
NONHSAT077533.2,mRNA,0.945
NONHSAT077585.2,lncRNA,1.0
NONHSAT077604.2,lncRNA,1.0
NONHSAT077614.2,mRNA,0.855
NONHSAT077949.2,mRNA,1.0
NONHSAT077994.2,mRNA,0.987
NONHSAT078078.2,mRNA,0.852
NONHSAT078169.2,mRNA,0.999
NONHSAT078227.2,lncRNA,0.919
NONHSAT078323.2,lncRNA,0.923
NONHSAT078497.2,lncRNA,0.999
NONHSAT078549.2,lncRNA,0.999
NONHSAT078584.2,lncRNA,0.999
NONHSAT078673.2,lncRNA,0.999
NONHSAT078728.2,lncRNA,0.999
NONHSAT078836.2,lncRNA,1.0
NONHSAT078878.2,lncRNA,0.999
NONHSAT079067.2,lncRNA,0.999
NONHSAT079174.2,lncRNA,1.0
NONHSAT079210.2,mRNA,0.999
NONHSAT079240.2,mRNA,0.999
NONHSAT079277.2,mRNA,0.999
NONHSAT079304.2,lncRNA,1.0
NONHSAT079435.2,mRNA,0.999
NONHSAT079446.2,lncRNA,1.0
NONHSAT079641.2,lncRNA,1.0
NONHSAT079673.2,mRNA,0.999
NONHSAT079925.2,mRNA,0.996
NONHSAT080009.2,mRNA,0.989
NONHSAT080116.2,lncRNA,0.999
NONHSAT080270.2,lncRNA,0.999
NONHSAT080290.2,lncRNA,0.827
NONHSAT080305.2,lncRNA,1.0
NONHSAT080370.2,lncRNA,1.0
NONHSAT080890.2,mRNA,0.989
NONHSAT081037.2,lncRNA,0.999
NONHSAT081190.2,lncRNA,0.998
NONHSAT081245.2,lncRNA,0.999
NONHSAT081537.2,lncRNA,0.991
NONHSAT081538.2,lncRNA,0.999
NONHSAT081542.2,lncRNA,0.999
NONHSAT081580.2,lncRNA,0.999
NONHSAT081693.2,lncRNA,1.0
NONHSAT081949.2,mRNA,0.999
NONHSAT082281.2,mRNA,0.994
NONHSAT082318.2,lncRNA,1.0
NONHSAT082396.2,lncRNA,0.997
NONHSAT082532.2,mRNA,0.783
NONHSAT083325.2,lncRNA,0.999
NONHSAT083379.2,lncRNA,0.981
NONHSAT083431.2,lncRNA,1.0
NONHSAT083713.2,lncRNA,0.908
NONHSAT083894.2,lncRNA,0.999
NONHSAT083900.2,lncRNA,0.999
NONHSAT083923.2,mRNA,1.0
NONHSAT084388.2,mRNA,0.999
NONHSAT084663.2,mRNA,0.998
NONHSAT084948.2,lncRNA,1.0
NONHSAT085042.2,lncRNA,1.0
NONHSAT086658.2,mRNA,0.999
NONHSAT086682.2,lncRNA,0.999
NONHSAT086871.2,lncRNA,0.574
NONHSAT086922.2,lncRNA,0.999
NONHSAT087126.2,lncRNA,0.999
NONHSAT087151.2,lncRNA,0.984
NONHSAT087172.2,lncRNA,1.0
NONHSAT087204.2,mRNA,0.976
NONHSAT087251.2,mRNA,0.987
NONHSAT087366.2,lncRNA,0.999
NONHSAT087416.2,lncRNA,1.0
NONHSAT087423.2,lncRNA,0.995
NONHSAT087607.2,mRNA,0.985
NONHSAT087632.2,lncRNA,0.824
NONHSAT087668.2,lncRNA,0.827
NONHSAT087754.2,lncRNA,1.0
NONHSAT087766.2,lncRNA,0.984
NONHSAT087774.2,lncRNA,0.999
NONHSAT087975.2,lncRNA,0.999
NONHSAT088627.2,lncRNA,0.999
NONHSAT088816.2,lncRNA,1.0
NONHSAT088964.2,lncRNA,0.997
NONHSAT089123.2,lncRNA,1.0
NONHSAT089124.2,lncRNA,1.0
NONHSAT089176.2,lncRNA,1.0
NONHSAT089495.2,lncRNA,0.999
NONHSAT089606.2,lncRNA,0.895
NONHSAT089768.2,mRNA,0.772
NONHSAT089774.2,lncRNA,0.999
NONHSAT089841.2,mRNA,0.999
NONHSAT090038.2,lncRNA,0.999
NONHSAT090139.2,mRNA,0.698
NONHSAT090157.2,lncRNA,0.991
NONHSAT090439.2,lncRNA,1.0
NONHSAT090497.2,lncRNA,0.999
NONHSAT090591.2,lncRNA,0.92
NONHSAT090615.2,lncRNA,0.999
NONHSAT090845.2,lncRNA,0.999
NONHSAT090916.2,lncRNA,1.0
NONHSAT090971.2,lncRNA,1.0
NONHSAT090974.2,lncRNA,1.0
NONHSAT091000.2,mRNA,0.853
NONHSAT091027.2,mRNA,0.949
NONHSAT091063.2,lncRNA,0.999
NONHSAT091065.2,lncRNA,0.999
NONHSAT091171.2,lncRNA,0.999
NONHSAT091220.2,lncRNA,1.0
NONHSAT091361.2,lncRNA,0.999
NONHSAT091611.2,mRNA,0.999
NONHSAT091684.2,lncRNA,0.658
NONHSAT091738.2,lncRNA,0.999
NONHSAT091752.2,lncRNA,0.994
NONHSAT092083.2,lncRNA,0.843
NONHSAT092252.2,mRNA,0.999
NONHSAT092397.2,mRNA,0.996
NONHSAT092678.2,lncRNA,0.806
NONHSAT092733.2,lncRNA,0.999
NONHSAT092920.2,lncRNA,1.0
NONHSAT092961.2,mRNA,0.999
NONHSAT093129.2,lncRNA,0.999
NONHSAT093136.2,mRNA,0.999
NONHSAT093203.2,lncRNA,0.999
NONHSAT093421.2,lncRNA,1.0
NONHSAT093472.2,lncRNA,0.749
